[06/06/2023 14:01:15]	Error: Page "https://www.webofscience.com/wos/author/record/13991934" loading timeout.
[06/06/2023 14:01:31]	Extracted 19 links.
[06/06/2023 14:01:31]	Filtered to 0 links.
[06/06/2023 14:01:31]	Error: Page "https://www.webofscience.com/wos/author/record/15681668" loading timeout.
[06/06/2023 14:01:47]	Extracted 19 links.
[06/06/2023 14:01:47]	Filtered to 0 links.
[06/06/2023 14:01:47]	Error: Page "https://www.webofscience.com/wos/author/record/19750317" loading timeout.
[06/06/2023 14:02:03]	Extracted 19 links.
[06/06/2023 14:02:03]	Filtered to 0 links.
[06/06/2023 14:02:03]	Error: Page "https://www.webofscience.com/wos/author/record/19663629" loading timeout.
[06/06/2023 14:02:19]	Extracted 19 links.
[06/06/2023 14:02:19]	Filtered to 0 links.
[06/06/2023 14:02:19]	Page "https://www.webofscience.com/wos/author/record/707958" loaded successfully.
[06/06/2023 14:02:24]	Extracted 156 links.
[06/06/2023 14:02:24]	Filtered to 47 links.
[06/06/2023 14:02:24]	Error: Page "https://www.webofscience.com/wos/author/record/4439661" loading timeout.
[06/06/2023 14:02:40]	Extracted 19 links.
[06/06/2023 14:02:40]	Filtered to 0 links.
[06/06/2023 14:02:40]	Error: Page "https://www.webofscience.com/wos/author/record/5827238" loading timeout.
[06/06/2023 14:02:56]	Extracted 19 links.
[06/06/2023 14:02:56]	Filtered to 0 links.
[06/06/2023 14:02:56]	Error: Page "https://www.webofscience.com/wos/author/record/4786401" loading timeout.
[06/06/2023 14:03:12]	Extracted 19 links.
[06/06/2023 14:03:12]	Filtered to 0 links.
[06/06/2023 14:03:12]	Error: Page "https://www.webofscience.com/wos/author/record/13797766" loading timeout.
[06/06/2023 14:03:29]	Extracted 19 links.
[06/06/2023 14:03:29]	Filtered to 0 links.
[06/06/2023 14:03:29]	Error: Page "https://www.webofscience.com/wos/author/record/5038091" loading timeout.
[06/06/2023 14:03:45]	Extracted 19 links.
[06/06/2023 14:03:45]	Filtered to 0 links.
[06/06/2023 14:03:45]	Error: Page "https://www.webofscience.com/wos/author/record/5781747" loading timeout.
[06/06/2023 14:04:01]	Extracted 19 links.
[06/06/2023 14:04:01]	Filtered to 0 links.
[06/06/2023 14:04:01]	Error: Page "https://www.webofscience.com/wos/author/record/16185175" loading timeout.
[06/06/2023 14:04:18]	Extracted 19 links.
[06/06/2023 14:04:18]	Filtered to 0 links.
